 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]        nu*F(nu)          
                                   [erg/sec/cm^2/str]    
   9.275526      9.8244315E-03  0.0000000E+00
   9.300526      9.7980238E-03  0.0000000E+00
   9.325525      9.7717578E-03  0.0000000E+00
   9.350525      9.7456323E-03  0.0000000E+00
   9.375525      9.7196456E-03  0.0000000E+00
   9.400524      9.6937967E-03  0.0000000E+00
   9.425524      9.6680857E-03  0.0000000E+00
   9.450523      9.6425107E-03  0.0000000E+00
   9.475523      9.6170707E-03  0.0000000E+00
   9.500523      9.5917648E-03  0.0000000E+00
   9.525522      9.5665911E-03  0.0000000E+00
   9.550522      9.5415488E-03  0.0000000E+00
   9.575521      9.5166387E-03  0.0000000E+00
   9.600521      9.4918571E-03  0.0000000E+00
   9.625521      9.4672050E-03  0.0000000E+00
   9.650520      9.4426796E-03  0.0000000E+00
   9.675520      9.4182817E-03  0.0000000E+00
   9.700520      9.3940096E-03  0.0000000E+00
   9.725519      9.3698623E-03  0.0000000E+00
   9.750519      9.3458388E-03  0.0000000E+00
   9.775518      9.3219373E-03  0.0000000E+00
   9.800518      9.2981588E-03  0.0000000E+00
   9.825518      9.2745014E-03  0.0000000E+00
   9.850517      9.2509631E-03  0.0000000E+00
   9.875517      9.2275450E-03  0.0000000E+00
   9.900517      9.2042442E-03  0.0000000E+00
   9.925516      9.1810618E-03  0.0000000E+00
   9.950516      9.1579948E-03  0.0000000E+00
   9.975515      9.1350442E-03  0.0000000E+00
   10.00051      9.1122082E-03  0.0000000E+00
   10.02551      9.0894857E-03  0.0000000E+00
   10.05051      9.0668770E-03  0.0000000E+00
   10.07551      9.0443799E-03  0.0000000E+00
   10.10051      9.0219947E-03  0.0000000E+00
   10.14986      8.9781312E-03  0.0000000E+00
   10.15016      8.9778658E-03  0.0000000E+00
   10.17516      8.9558084E-03  0.0000000E+00
   10.20016      8.9338580E-03  0.0000000E+00
   10.22516      8.9120157E-03  0.0000000E+00
   10.25016      8.8902796E-03  0.0000000E+00
   10.27516      8.8686496E-03  0.0000000E+00
   10.30016      8.8471239E-03  0.0000000E+00
   10.32516      8.8257035E-03  0.0000000E+00
   10.35016      8.8043856E-03  0.0000000E+00
   10.38505      8.7747993E-03  0.0000000E+00
   10.38535      8.7745460E-03  0.0000000E+00
   10.41035      8.7534748E-03  0.0000000E+00
   10.43535      8.7325042E-03  0.0000000E+00
   10.46035      8.7116342E-03  0.0000000E+00
   10.48535      8.6908629E-03  0.0000000E+00
   10.51035      8.6701913E-03  0.0000000E+00
   10.53535      8.6496174E-03  0.0000000E+00
   10.56035      8.6291414E-03  0.0000000E+00
   10.58535      8.6087622E-03  0.0000000E+00
   10.61035      8.5884780E-03  0.0000000E+00
   10.63535      8.5682897E-03  0.0000000E+00
   10.66035      8.5481964E-03  0.0000000E+00
   10.68535      8.5281972E-03  0.0000000E+00
   10.71035      8.5082911E-03  0.0000000E+00
   10.73535      8.4884772E-03  0.0000000E+00
   10.76035      8.4687565E-03  0.0000000E+00
   10.78535      8.4491260E-03  0.0000000E+00
   10.81035      8.4295869E-03  0.0000000E+00
   10.83535      8.4101381E-03  0.0000000E+00
   10.86035      8.3907787E-03  0.0000000E+00
   10.88535      8.3715077E-03  0.0000000E+00
   10.91035      8.3523262E-03  0.0000000E+00
   10.93535      8.3332313E-03  0.0000000E+00
   10.96035      8.3142240E-03  0.0000000E+00
   10.98535      8.2953032E-03  0.0000000E+00
   11.01035      8.2764681E-03  0.0000000E+00
   11.03535      8.2577188E-03  0.0000000E+00
   11.06034      8.2390541E-03  0.0000000E+00
   11.08534      8.2204733E-03  0.0000000E+00
   11.11034      8.2019763E-03  0.0000000E+00
   11.13534      8.1835622E-03  0.0000000E+00
   11.16034      8.1652300E-03  0.0000000E+00
   11.18534      8.1469808E-03  0.0000000E+00
   11.21034      8.1288125E-03  0.0000000E+00
   11.23534      8.1107253E-03  0.0000000E+00
   11.26034      8.0927182E-03  0.0000000E+00
   11.28534      8.0747912E-03  0.0000000E+00
