

C=COMPOSITE  CL=COULOMB  OP=OP  DRK=DRAKE  FDR=FIITED DRAKE  HY=HYDROGENIC




    1  1S  TO  1P
    *************

   30   1.7191D+02  0.000  0.000  0.000  1.000  2.032
   31   1.5592D+02  0.000  0.000  0.000  1.000  2.029
   32   1.4184D+02  0.000  0.000  0.000  1.000  2.026
   33   1.2941D+02  0.000  0.000  0.000  1.000  2.023
   34   1.1839D+02  0.000  0.000  0.000  1.000  2.021
   35   1.0858D+02  0.000  0.000  0.000  1.000  2.018
   36   9.9828D+01  0.000  0.000  0.000  1.000  2.016
   37   9.1987D+01  0.000  0.000  0.000  1.000  2.014
   38   8.4946D+01  0.000  0.000  0.000  1.000  2.012
   39   7.8604D+01  0.000  0.000  0.000  1.000  2.011
   40   7.2878D+01  0.000  0.000  0.000  1.000  2.009


   11  1S  TO  1P
    *************

   NU    COMPOSITE  DRK/C   OP/C FDR/OP   CL/C   HY/C
   11   3.4724D+02  0.000  1.002  0.000  1.000  0.000
   12   1.3689D+03  0.000  1.012  0.000  1.000  3.459
   13   1.3653D+03  0.000  1.009  0.000  1.000  2.751
   14   1.1789D+03  0.000  1.008  0.000  1.000  2.512
   15   9.9343D+02  0.000  1.008  0.000  1.000  2.389
   16   8.3541D+02  0.000  1.007  0.000  1.000  2.312
   17   7.0559D+02  0.000  1.006  0.000  1.000  2.259
   18   5.9972D+02  0.000  1.006  0.000  1.000  2.221
   19   5.1322D+02  0.000  1.006  0.000  1.000  2.192
   20   4.4215D+02  0.000  1.006  0.000  1.000  2.169
   21   3.8339D+02  0.000  1.006  0.000  1.000  2.151
   22   3.3445D+02  0.000  1.006  0.000  1.000  2.136
   23   2.9340D+02  0.000  1.006  0.000  1.000  2.123
   24   2.5875D+02  0.000  1.006  0.000  1.000  2.113
   25   2.2931D+02  0.000  1.006  0.000  1.000  2.104
   26   2.0415D+02  0.000  0.000  0.000  1.000  2.096
   27   1.8251D+02  0.000  0.000  0.000  1.000  2.089
   28   1.6382D+02  0.000  0.000  0.000  1.000  2.083
   29   1.4759D+02  0.000  0.000  0.000  1.000  2.078
   30   1.3342D+02  0.000  0.000  0.000  1.000  2.073
   31   1.2101D+02  0.000  0.000  0.000  1.000  2.069
   32   1.1009D+02  0.000  0.000  0.000  1.000  2.065
   33   1.0043D+02  0.000  0.000  0.000  1.000  2.062
   34   9.1877D+01  0.000  0.000  0.000  1.000  2.059
   35   8.4264D+01  0.000  0.000  0.000  1.000  2.056
